id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1169467345644856168,Modflor Urban Flat Florence,84876657,Silvio,,Rifredi,43.78352659411312,11.259271055459976,Entire home/apt,137,2,2,2024-06-16,2,1,264,2,
1169470380554147376,Comfy & chic next to the city centre+ garage,16693046,Donatella,,Centro Storico,43.78105,11.2385863,Entire home/apt,120,2,0,,,22,302,0,048017LTI8185
1169475763997101346,Local vibes in Florence!,16693046,Donatella,,Centro Storico,43.78220246777169,11.23705941468049,Entire home/apt,130,2,0,,,22,287,0,048017LTN13476
1169486079610268899,Quiet downtown apt with private stunning terrace!,16693046,Donatella,,Centro Storico,43.7799197,11.2598937,Entire home/apt,150,2,0,,,22,280,0,048017LTN4994
1169492127196989939,On the roof of Florence: vibrant Apt with view,16693046,Donatella,,Centro Storico,43.7740754,11.2523903,Entire home/apt,379,2,0,,,22,259,0,048017LTN4953
1169499150714346980,Glam & Luxury!,16693046,Donatella,,Centro Storico,43.7744589,11.2431045,Entire home/apt,220,2,0,,,22,323,0,048017LTN9528
1170121459406617695,Savoia Apartment,581036685,Amedeo,,Centro Storico,43.78123027828961,11.23875741706671,Entire home/apt,240,1,1,2024-06-16,1,1,51,1,
1170164756574098450,"Big flat, close to everything",581048455,Sara,,Centro Storico,43.7784431,11.2392174,Entire home/apt,130,1,0,,,1,77,0,
1170217680466757476,Luxury Studio with Private Patio - Golden Fish,52780584,Nicoleta,,Campo di Marte,43.768097,11.2754517,Entire home/apt,88,2,1,2024-06-16,1,1,199,1,048017LTN14987
1170277901522617764,sert house,580692062,Petru Alexandru,,Centro Storico,43.77142,11.25617,Entire home/apt,400,1,0,,,1,269,0,
1170294447025002710,Appartamento Libertà Firenze,45605559,Franko,,Campo di Marte,43.7865459,11.2628667,Entire home/apt,100,1,0,,,4,226,0,
1170393912213625497,Mim Apartment,444528602,Mimmo,,Centro Storico,43.76986098259318,11.265045093860062,Entire home/apt,280,1,0,,,2,90,0,
1170421774899616584,Downtown colourful flat close to the railway,114253061,Lorenzo,,Centro Storico,43.774799353747426,11.245058105169035,Entire home/apt,194,1,0,,,50,256,0,
1170768454278561797,The Campuccio Arch,51561154,Giulio,,Centro Storico,43.7650806,11.2453223,Entire home/apt,175,1,1,2024-06-13,1,26,301,1,
1170775953768948817,Green room,552704417,Housing Florence,,Centro Storico,43.77462,11.24933,Private room,100,1,2,2024-06-18,2,4,225,2,
1170786301451003510,Santa Maria Novella Large Terrace,3314526,Alessandro,,Centro Storico,43.775801294912945,11.246938078994328,Entire home/apt,208,2,0,,,41,148,0,
1170836995969499349,At 5mn from center: in front of “Poggio Imperiale”,12155625,Patricia,,Gavinana Galluzzo,43.747307144407095,11.249837860852052,Entire home/apt,180,2,0,,,1,268,0,
1170861482482262498,Appartamento,539071959,Francesco,,Centro Storico,43.77147060000001,11.2653704,Entire home/apt,200,1,0,,,1,52,0,
1170864042582642688,Garden Loft in Florence,491903344,Stella,,Rifredi,43.7869353,11.2626246,Entire home/apt,104,3,0,,,3,220,0,048017LTI14803
1170869828651154001,"Grazioso App con Vista, Vicino Stadio e Parcheggio",550054778,Florence Charming Apartments,,Campo di Marte,43.769938,11.2820186,Entire home/apt,126,1,0,,,15,346,0,
1170877881797282718,Vespucci 60 - Luxury Flat With Private Garage And,401003488,Halldis,,Centro Storico,43.77506,11.23912,Entire home/apt,1247,1,0,,,35,363,0,
1170906321486617283,Sant'Ambrogio Gem: Chic Florence Nest,96122546,Welcome To Our Holiday Homes,,Centro Storico,43.7742693,11.2626948,Entire home/apt,127,2,0,,,123,358,0,048017LTN13159
1171012616373934806,Stanza ampia e luminosa Novoli,66886740,Rosanna,,Centro Storico,43.7864436,11.2385939,Private room,50,30,0,,,4,169,0,
1171387046934202132,Luxury Historical Apartment,522796432,Elia,,Centro Storico,43.76476628212498,11.260468661785126,Entire home/apt,149,1,0,,,3,265,0,
1171502270151119011,A stunning exclusive terrace overlooking Boboli,24321628,Barbara,,Centro Storico,43.76533756672548,11.246939695726867,Entire home/apt,293,1,0,,,22,179,0,048017LTN8907
1171513738963627965,Lungarno Suite Sweet II,442507212,Anna Maria,,Gavinana Galluzzo,43.7638079,11.2750854,Entire home/apt,90,1,0,,,6,225,0,048017LTN14633
1171522226847655269,S.Ambrogio Courtyard in Florence,76556384,Andrea,,Centro Storico,43.7731070972076,11.270183571227774,Entire home/apt,142,1,0,,,73,274,0,
1171554635033867187,Living Florence,19825513,Marco,,Rifredi,43.79116988025102,11.234479547272706,Entire home/apt,136,2,0,,,1,191,0,
1171597808861824209,Attico Vista Duomo,550663425,Matteo,,Centro Storico,43.77535,11.25079,Entire home/apt,300,1,1,2024-06-13,1,2,250,1,
1171669535726707339,6.0 art Factory Oltrarno,296884430,Giulia,,Centro Storico,43.762472208295975,11.239941897626554,Entire home/apt,240,2,0,,,11,352,0,048017LTN13351
1171679399585026349,Porta Prato 21 - Florence,16185279,Leonardo,,Centro Storico,43.7790151,11.2404908,Entire home/apt,83,3,0,,,29,125,0,
1171681322853599263,The Coverciano Atelier,51561154,Giulio,,Campo di Marte,43.7764721,11.2970609,Entire home/apt,88,2,4,2024-06-19,4,26,120,4,
1171682320873451407,Luigi's Apartament Fi Careggi/Rifredi e posto auto,415272377,Luigi,,Rifredi,43.8035746283838,11.239991668568749,Entire home/apt,100,1,7,2024-06-21,7,1,222,7,
1171709254809117633,UNYCA - Pop-up Florence Apt,547346154,Unyca,,Centro Storico,43.7824224,11.2383617,Entire home/apt,175,2,0,,,16,53,0,
1171709272787948350,Flo Apartments Ricasoli,24321628,Barbara,,Centro Storico,43.77369,11.25752,Entire home/apt,351,1,0,,,22,187,0,048017LTN11453
1171874886156487808,Santa Maria Novella Comfort,89277071,Lorenzo,,Centro Storico,43.77526,11.24389,Entire home/apt,192,1,0,,,60,227,0,
1171884696389598021,Savonarola Loft,298346656,Giovanni,,Campo di Marte,43.7837556,11.2662594,Entire home/apt,112,1,0,,,12,226,0,
1171899356325441243,Bargellino - Little Tower - Heart of Florence,12533789,Eo,,Centro Storico,43.769055065680476,11.257916691525018,Entire home/apt,110,2,0,,,18,189,0,
1171908386545130732,Bargello Deluxe - Little Tower - Elegant Suite x2,12533789,Eo,,Centro Storico,43.77048,11.258,Entire home/apt,129,2,1,2024-06-14,1,18,202,1,
1172191642483560476,Via Giraldi House | interno 7,183321589,Paola,,Centro Storico,43.7714453,11.2588529,Entire home/apt,311,2,0,,,4,94,0,CIR 048017LTN10799
1172225580116161747,Fabriano Apartment,222332436,Annalisa,,Centro Storico,43.76438,11.2604,Entire home/apt,278,1,0,,,14,275,0,
1172266105393588498,Ohana Florence Suite,581651671,Salvatore,,Isolotto Legnaia,43.77299499999999,11.2254164,Entire home/apt,169,2,2,2024-06-09,2,1,196,2,
