Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94,female,w,lnw
118241,675018944239180,May,MS,1920.0065,184.61,38,40,2,,34,2,1,3,8,"Native, Born In US",6,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,4.858157894736842,1.5806593320560924
118438,36752390994598,May,MO,3268.1535,350.0,40,39,1,,24,2,1,0,0,"Native, Born In US",4,Child day care services (6244),2540,"Private, For Profit",No,No,Employed-At Work,1,8.75,2.169053700369523
118738,979889930136207,May,MO,2145.5714,392.3,40,43,1,,39,2,1,3,10,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,9.807500000000001,2.2831473991015705
118968,99660425370973,May,MT,927.7379,340.0,40,39,1,,47,1,7,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,0,8.5,2.1400661634962708
119091,735081761379750,May,NE,813.534,253.25,25,43,1,,63,2,4,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,"Private, For Profit",Yes,,Employed-At Work,1,10.13,2.315501318260592
119134,376923503006125,May,NE,770.3229,560.0,40,39,1,,59,2,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,14.0,2.6390573296152584
119180,13018083409665,May,NE,820.3252,483.2,40,43,1,,53,2,1,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,12.08,2.4915511925066687
119229,207608313944731,May,NE,720.4497,393.75,35,39,1,,57,2,5,0,0,"Native, Born In US",4,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,11.25,2.4203681286504293
119616,330207975069656,May,NV,1452.3622,579.25,35,40,1,,58,2,1,0,0,"Native, Born In US",8,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,16.55,2.806386101823072
119871,533287093908578,May,NH,553.6929,454.08,32,39,1,,51,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,No,Yes,Employed-At Work,1,14.19,2.6525374911719513
120286,913499430619303,May,NH,486.2802,138.46,30,43,1,,59,2,1,0,0,"Native, Born In US",1,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,4.615333333333334,1.529384093587724
120778,650941090533229,May,NJ,3159.2282,651.2,37,39,1,2.0,50,2,1,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2540,"Private, For Profit",Yes,,Employed-At Work,1,17.6,2.8678989020441064
121048,47443760921997,May,NY,4829.9729,250.0,40,43,4,,28,2,1,1,1,"Foreign Born, Not a US Citizen",2,Child day care services (6244),2540,"Private, For Profit",No,No,Employed-Absent,1,6.25,1.8325814637483102
121081,107905483883726,May,NY,3553.7843,645.0,35,40,2,,20,2,7,0,0,"Foreign Born, Not a US Citizen",2,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,18.428571428571427,2.913902255306359
121376,730609872548381,May,NY,3553.7843,415.0,40,40,2,,20,2,7,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2540,"Private, For Profit",Yes,,Employed-At Work,1,10.375,2.339399066116762
121739,407908423897836,May,NY,3375.2586,135.0,15,44,1,,55,2,1,1,4,"Native, Born In US",2,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work,1,9.0,2.1972245773362196
121954,976989370399302,May,NY,3843.1684,136.0,8,39,1,,52,2,5,1,4,"Native, Born In US",2,Elementary and secondary schools (6111),2540,Government - Local,No,No,Employed-At Work,1,17.0,2.833213344056216
121967,986056994379160,May,NY,3210.9836,697.0,37,43,1,,57,2,1,0,0,"Native, Born In US",2,Elementary and secondary schools (6111),2540,Government - State,Yes,,Employed-At Work,1,18.83783783783784,2.9358674981162993
122445,947659330489307,May,NC,3530.6081,600.0,40,39,1,,56,2,1,0,0,"Native, Born In US",5,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,15.0,2.70805020110221
122586,870970091537419,May,NC,3790.7749,484.61,38,42,2,,31,2,7,1,3,"Native, Born In US",5,Elementary and secondary schools (6111),2540,Government - State,No,No,Employed-At Work,1,12.752894736842105,2.5457582840188615
